iter	RMSE
0	0.3569147258
1	0.3558998786
2	0.3547767719
3	0.3536331954
4	0.3524381679
5	0.3515491104
6	0.350431291
7	0.349540713
8	0.3485789991
9	0.3475058816
10	0.3468113345
11	0.3460010394
12	0.3452610509
13	0.3444708905
14	0.3437217068
15	0.3431571877
16	0.3426674887
17	0.3419368944
18	0.3417106383
19	0.3412322126
20	0.3407218581
21	0.3403013933
22	0.3397138722
23	0.3393604272
24	0.3387182102
25	0.3384905612
26	0.3379413112
27	0.3374386414
28	0.3371312192
29	0.3366866957
30	0.3363274034
31	0.3360428347
32	0.3357420192
33	0.3354128004
34	0.3349718991
35	0.3345048458
36	0.3342524137
37	0.3339683047
38	0.3336684585
39	0.333303078
40	0.3329026591
41	0.3323936705
42	0.3320358841
43	0.3315698661
44	0.3312238028
45	0.3309287141
46	0.3306691383
47	0.3305583181
48	0.3302047515
49	0.3300383113
50	0.3298105276
51	0.3294879255
52	0.3293457754
53	0.3290098053
54	0.3287682783
55	0.3285561377
56	0.3283376467
57	0.3281834401
58	0.327889468
59	0.3278010769
60	0.3274898573
61	0.3272490976
62	0.327017746
63	0.3269209617
64	0.3266421156
65	0.3263852525
66	0.3260724754
67	0.3257569273
68	0.3255609872
69	0.3252596665
70	0.3251102891
71	0.3248346939
72	0.3246675247
73	0.3244484227
74	0.3242734361
75	0.3241239887
76	0.3240374207
77	0.3237938299
78	0.3235385474
79	0.3233411336
80	0.3229559468
81	0.3227590054
82	0.3226150177
83	0.322373786
84	0.322145273
85	0.3219996601
86	0.3216734462
87	0.3214730624
88	0.3212980504
89	0.3211875435
90	0.3208778762
91	0.3205881389
92	0.320380791
93	0.3201928704
94	0.3199814847
95	0.3197040294
96	0.3194452286
97	0.3193082484
98	0.3191531755
99	0.3189597176
