iter	Passed	Remaining
0	3	314
1	7	365
2	9	321
3	12	302
4	15	285
5	17	271
6	20	266
7	23	275
8	26	266
9	28	259
10	31	252
11	33	246
12	37	249
13	40	246
14	42	241
15	45	236
16	47	233
17	50	229
18	53	228
19	56	224
20	58	220
21	61	217
22	63	213
23	66	209
24	70	212
25	73	208
26	75	205
27	78	201
28	80	197
29	84	197
30	87	195
31	89	190
32	92	187
33	94	183
34	97	180
35	103	183
36	105	179
37	108	176
38	110	172
39	112	169
40	116	167
41	119	164
42	121	161
43	124	158
44	127	155
45	130	153
46	133	150
47	136	147
48	139	145
49	142	142
50	145	139
51	149	137
52	152	135
53	155	132
54	158	129
55	162	127
56	166	125
57	168	122
58	171	119
59	174	116
60	176	112
61	180	110
62	183	107
63	186	104
64	189	101
65	192	98
66	198	97
67	201	95
68	204	92
69	207	89
70	212	86
71	215	83
72	218	80
73	220	77
74	223	74
75	228	72
76	231	69
77	234	66
78	237	63
79	240	60
80	243	57
81	246	54
82	249	51
83	251	47
84	254	44
85	259	42
86	262	39
87	265	36
88	267	33
89	270	30
90	276	27
91	279	24
92	281	21
93	284	18
94	286	15
95	292	12
96	295	9
97	298	6
98	300	3
99	303	0
